,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12145,Cultus,Suzuki,1000,Hatchback,Good,2014,59000,Petrol,Manual,Solid White,Sindh,13.45
12146,Cultus,Suzuki,1000,Hatchback,Excellent,2006,68000,Petrol,Manual,Solid White,Karachi,7.2
12147,Cultus,Suzuki,1000,Hatchback,Fair,2004,99700,Petrol,Manual,Gold,Karachi,6.1
12148,Cultus,Suzuki,1000,Hatchback,Fair,2013,35000,Petrol,Manual,Graphite Grey,Islamabad,16.0
12149,Cultus,Suzuki,1000,Hatchback,Excellent,2020,87000,Petrol,Manual,White,Lahore,27.5
12150,Cultus,Suzuki,1000,Hatchback,Good,2013,70000,Petrol,Manual,Solid White,Karachi,12.85
12151,Cultus,Suzuki,1000,Hatchback,Good,2018,60000,Petrol,Manual,Grey,Karachi,23.95
12152,Cultus,Suzuki,1000,Hatchback,Excellent,2015,79000,Petrol,Manual,Graphite Grey,Karachi,14.8
12153,Cultus,Suzuki,1000,Hatchback,Fair,2006,75000,Petrol,Manual,White,Islamabad,8.8
12154,Cultus,Suzuki,1000,Hatchback,Fair,2007,102000,Petrol,Manual,Blue,Lahore,10.5
12155,Cultus,Suzuki,1000,Hatchback,Excellent,2016,63000,Petrol,Manual,Solid White,Lahore,17.45
12156,Cultus,Suzuki,1000,Hatchback,Excellent,2009,71000,Petrol,Manual,Blue,Lahore,13.25
12157,Cultus,Suzuki,1000,Hatchback,Good,2021,26000,Petrol,Automatic,White,Sindh,33.75
12158,Cultus,Suzuki,1000,Hatchback,Excellent,2013,31000,Petrol,Manual,Solid White,Punjab,11.5
12159,Cultus,Suzuki,1000,Hatchback,Fair,2016,85000,Petrol,Manual,Solid White,Lahore,16.7
12160,Cultus,Suzuki,1000,Hatchback,Excellent,2012,115000,Petrol,Manual,Grey,Chakwal,15.0
12161,Cultus,Suzuki,1000,Hatchback,Good,2008,123000,Petrol,Manual,Graphite Grey,Lahore,11.8
